x,y,z,type,size,color
0.00425,0.00425,0.00425,MSC,10,blue
0.012750000000000001,0.00425,0.00425,MSC,10,blue
0.02125,0.00425,0.00425,MSC,10,blue
0.029750000000000002,0.00425,0.00425,Dead,10,blue
0.038250000000000006,0.00425,0.00425,MSC,10,blue
0.04675,0.00425,0.00425,Dead,10,blue
0.05525000000000001,0.00425,0.00425,MSC,10,blue
0.06375,0.00425,0.00425,MSC,10,blue
0.07225000000000001,0.00425,0.00425,MSC,10,blue
0.08075000000000002,0.00425,0.00425,MSC,10,blue
0.08925000000000001,0.00425,0.00425,MSC,10,blue
0.09775,0.00425,0.00425,Dead,10,blue
0.10625000000000001,0.00425,0.00425,MSC,10,blue
0.11475000000000002,0.00425,0.00425,MSC,10,blue
0.12325000000000001,0.00425,0.00425,MSC,10,blue
0.13175,0.00425,0.00425,Dead,10,blue
0.14025,0.00425,0.00425,MSC,10,blue
0.14875000000000002,0.00425,0.00425,MSC,10,blue
0.00425,0.012750000000000001,0.00425,MSC,10,blue
0.012750000000000001,0.012750000000000001,0.00425,MSC,10,blue
0.02125,0.012750000000000001,0.00425,MSC,10,blue
0.029750000000000002,0.012750000000000001,0.00425,MSC,10,blue
0.038250000000000006,0.012750000000000001,0.00425,Dead,10,blue
0.04675,0.012750000000000001,0.00425,Dead,10,blue
0.05525000000000001,0.012750000000000001,0.00425,Dead,10,blue
0.06375,0.012750000000000001,0.00425,MSC,10,blue
0.07225000000000001,0.012750000000000001,0.00425,MSC,10,blue
0.08075000000000002,0.012750000000000001,0.00425,MSC,10,blue
0.08925000000000001,0.012750000000000001,0.00425,MSC,10,blue
0.09775,0.012750000000000001,0.00425,MSC,10,blue
0.10625000000000001,0.012750000000000001,0.00425,MSC,10,blue
0.11475000000000002,0.012750000000000001,0.00425,MSC,10,blue
0.12325000000000001,0.012750000000000001,0.00425,MSC,10,blue
0.13175,0.012750000000000001,0.00425,MSC,10,blue
0.14025,0.012750000000000001,0.00425,MSC,10,blue
0.14875000000000002,0.012750000000000001,0.00425,MSC,10,blue
0.00425,0.02125,0.00425,MSC,10,blue
0.012750000000000001,0.02125,0.00425,MSC,10,blue
0.02125,0.02125,0.00425,Dead,10,blue
0.029750000000000002,0.02125,0.00425,MSC,10,blue
0.038250000000000006,0.02125,0.00425,MSC,10,blue
0.04675,0.02125,0.00425,MSC,10,blue
0.05525000000000001,0.02125,0.00425,MSC,10,blue
0.06375,0.02125,0.00425,MSC,10,blue
0.07225000000000001,0.02125,0.00425,MSC,10,blue
0.08075000000000002,0.02125,0.00425,MSC,10,blue
0.08925000000000001,0.02125,0.00425,MSC,10,blue
0.09775,0.02125,0.00425,MSC,10,blue
0.10625000000000001,0.02125,0.00425,MSC,10,blue
0.11475000000000002,0.02125,0.00425,MSC,10,blue
0.12325000000000001,0.02125,0.00425,Dead,10,blue
0.13175,0.02125,0.00425,MSC,10,blue
0.14025,0.02125,0.00425,MSC,10,blue
0.14875000000000002,0.02125,0.00425,MSC,10,blue
0.00425,0.029750000000000002,0.00425,MSC,10,blue
0.012750000000000001,0.029750000000000002,0.00425,MSC,10,blue
